Title,URL,Name,Rating,Ratings_Count,Address,Phone,Services,Photo_URLs,Error
"Siri Beauty Care & Collections Opposite Sri Technology Clock Tower, Amalapuram",https://www.justdial.com/Amalapuram/Siri-Beauty-Care-Collections-Opposite-Sri-Technology-Clock-Tower/9999P8856-8856-250211103826-G5J1_BZDET,Siri Beauty Care & Collections,4.9,16Ratings,"RSR Complex, GV Mall Back Side, Opposite Sri Technology, Beside ABCD Food Court, Clock Tower, Amalapuram-533201, Andhra Pradesh",08904959744,"Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/0agqcem7wo1kru7-vog252bx88-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/0oi6fv4wcz94uh1-2n63yhzdjo-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/0oi6fv4wcz94uh1-2n63yhzdjo.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/ipg77kdirwvh8fb-yql4sp6ro9.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/kdl17amzvrivxla-j6c6r3id42.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/o7aym81h1mzm350-a9pi6uiq01.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/pnjbpqzn0bg7tgz-mv2yac2998-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/pnjbpqzn0bg7tgz-mv2yac2998.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/s8j71fc78etr2fc-8w6dazpxuv.jpg?w=1920&q=80,
"Ramani Beauty Parlour Near High School Centre Muslim Street, Amalapuram",https://www.justdial.com/Amalapuram/Ramani-Beauty-Parlour-Near-High-School-Centre-Muslim-Street/9999P8856-8856-250419120346-E3S8_BZDET,Ramani Beauty Parlour,5.0,14Ratings,"Ishwarya Ambika Clothes Showroom Upstairs, Opposite Victory Bazar, Muslim Street, Amalapuram - 533201, Andhra Pradesh","09054562415, 09054562415","Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/46wh2r14j7tclkm-mseg38w2py-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/46wh2r14j7tclkm-mseg38w2py.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/hl8g0b1ubai1gq7-q0l54v5ihz.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-g4cb1rf5lz-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-g4cb1rf5lz.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-jx2ca78sim.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-pwws3d7fat-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-pwws3d7fat.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/s8/9999p8856.8856.250419120346.e3s8/catalogue/ramani-beauty-parlour-muslim-street-amalapuram-beauty-parlours-rt7my5v876.jpg?w=1920&q=80,
"magic touch family saloon and beauty parlour Opposite GV Mall Clock Tower, Amalapuram",https://www.justdial.com/Amalapuram/Magic-touch-family-saloon-and-beauty-parlour-Opposite-Gv-Mall-Clock-Tower/9999P8856-8856-230327172638-G8X6_BZDET,magic touch family saloon and beauty parlour,4.6,110Ratings,"K Agraharam, Opposite GV Mall, Bank Street, Clock Tower, Amalapuram-533201, Andhra Pradesh","08401322528, 08128885748, 09054562415, 08904959744","Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-26tt06v5a5.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-7ilt5fd6rb.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-beauty-parlours-9nta836fvb-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-beauty-parlours-9nta836fvb.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-beauty-parlours-t2ovuc5va9.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-btejb6byvu.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-tj6brpz435-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-tj6brpz435.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/x6/9999p8856.8856.230327172638.g8x6/catalogue/magic-touch-family-saloon-and-beauty-parlour-clock-tower-amalapuram-beauty-parlours-3sphywnj46-250.jpg?w=1920&q=80,
"Opulence Unisex Salon Hair&beyond Besides SBi Atm Main Road Red Bridge Amalapuram Rural, Amalapuram",https://www.justdial.com/Amalapuram/Opulence-Unisex-Salon-Hairbeyond-Besides-Sbi-Atm-Main-Road-Red-Bridge-Amalapuram-Rural/9999P8856-8856-220317220642-C1I5_BZDET,Opulence Unisex Salon Hair&beyond,4.4,779Ratings,"Door No:- 9-1-9/2, Venkata Raju Complex, Besides SBi Atm,  Main Road Red Bridge, Red Bridge Road, Rural, Amalapuram-533201, Andhra Pradesh",,"Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-0egbw9ab4m-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-18niettxf1-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-18niettxf1.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-7howao3tdt.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-ode1qkq2en.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-u6c75hcret.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-uxmsohnter-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-wljx2vb9vx-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-hlkbotwdxm.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-amalapuram-beauty-parlours-qmk3kzyrun.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/i5/9999p8856.8856.220317220642.c1i5/catalogue/opulence-unisex-salon-hair-and-beyond-sri-rama-nagar-amalapuram-beauty-parlours-beqq9x5wsm-250.jpg?w=1920&q=80,
"Naturals Salon Above Lenin Club Near Vasavi Temple Mobarlipet, Amalapuram",https://www.justdial.com/Amalapuram/Naturals-Salon-Above-Lenin-Club-Near-Vasavi-Temple-Mobarlipet/9999P8856-8856-211013224923-H4V4_BZDET,Naturals Salon,4.5,661Ratings,"8335,  2nd Floor, Above Lenin Club,  Near Vasavi Temple, Government Hospital Road, Mobarlipet, Amalapuram-533201, Andhra Pradesh","08401322528, 09054562415, 07490976807","Balayage Global Hair Colour With Hair Highlight (Member), Classic Hair Cut for Women, Classic Hair Cut for Women (Member)",https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-2w4rwcuygm-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-k4jzaij5fj.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-kep1u6jr9t-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-kep1u6jr9t.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-mobarlipet-amalapuram-beauty-parlours-p24r0xroe4.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-0mz2efd5f7.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-iqojxdarrl-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-iqojxdarrl.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-u9ll7xprve.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-wqhjb1rjpc-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/v4/9999p8856.8856.211013224923.h4v4/catalogue/naturals-hair-and-beauty-salon-amalapuram-beauty-parlours-yjoghxhlsy-250.jpg?w=1920&q=80,
"Sridevi Saloon & Men's Parlour Municipal Circular Bajar Opposite Kumaraswamy Auto Consultancy Km Agraharam, Amalapuram",https://www.justdial.com/Amalapuram/Sridevi-Saloon-Mens-Parlour-Municipal-Circular-Bajar-Opposite-Kumaraswamy-Auto-Consultancy-Km-Agraharam/9999P8856-8856-170529115631-G2H5_BZDET,Sridevi Saloon & Men's Parlour,3.9,181Ratings,"Shop No : 9, Municipal Circular Bajar,  Opposite Kumaraswamy Auto Consultancy, Near Venkata Ramana Theatre, Km Agraharam, Amalapuram-533201, Andhra Pradesh",,"Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-2q6tlr03cu-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-uiy277sunm.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-y9b8idevt6-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-y9b8idevt6.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-5hmnuv6kq0.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-8ndyvs7vmm-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-ffn2xz39vu.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-h8q7we75hv.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/h5/9999p8856.8856.170529115631.g2h5/catalogue/sridevi-saloon-and-men-s-parlour-amalapuram-ho-amalapuram-body-massage-centres-uuroosqxhm.jpg?w=1920&q=80,
"Pinks N Bloos Near Devi Matha Temple Muslim Street, Amalapuram",https://www.justdial.com/Amalapuram/Pinks-N-Bloos-Near-Devi-Matha-Temple-Muslim-Street/9999P8856-8856-240118133252-C7L8_BZDET,,,,,,"Change of Nail Colour (Member), Change of Nail Colour (Regular), French Nail Polish (Finger, Toe) (Regular)",https://content.jdmagicbox.com/comp/amalapuram/m8/9999p8856.8856.230715163242.c8m8/catalogue/dmm4gggy6bu4t8t-gvxlodel3x-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/m8/9999p8856.8856.230715163242.c8m8/catalogue/vhxi2a7cahkmuif-5zy63tvx0q-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.191001200618.b5v4/catalogue/ramaneeyam-beauty-parlour-amalapuram-ho-amalapuram-beauty-parlours-kxxsdta0j4-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/v4/9999p8856.8856.191001200618.b5v4/catalogue/ramaneeyam-beauty-parlour-amalapuram-ho-amalapuram-beauty-parlours-vwqb142g1i-250.jpg?w=1920&q=80,
"Zoya Beauty Parlour Opposite Victory Bazar Street Muslim Street, Amalapuram",https://www.justdial.com/Amalapuram/Zoya-Beauty-Parlour-Opposite-Victory-Bazar-Street-Muslim-Street/9999P8856-8856-160525111750-Q7C2_BZDET,Zoya Beauty Parlour,5.0,2Ratings,"Door No:5-2-61, Opposite Victory Bazar Street, Muslim Street, Amalapuram-533201, Andhra Pradesh",,"Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-0bw645w.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-785tw-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-785tw.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-bokuf75.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-ry7mogg.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-vm17e4k-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-vm17e4k.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-uq8ufgt-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/c2/9999p8856.8856.160525111750.q7c2/catalogue/zoya-beauty-parlour-amalapuram-ho-amalapuram-beauty-spas-uq8ufgt.jpg?w=1920&q=80,
"Sana beauty zone Mujaffar Veedi Muslim Street, Amalapuram",https://www.justdial.com/Amalapuram/Sana-beauty-zone-Mujaffar-Veedi-Muslim-Street/9999P8856-8856-241010105653-D4W3_BZDET,Sana beauty zone,4.9,57Ratings,"Mujaffar Veedi, Near Sri Devi Temple, Muslim Street, Amalapuram-533201, Andhra Pradesh",,"Hair Colour, Hair Cut, Hair Styling",https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/qkwlykb33tdlu2o-63yv8vpd8a.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-amalapuram-rural-amalapuram-women-beauty-parlours-8rnftqcnbp-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-amalapuram-rural-amalapuram-women-beauty-parlours-8rnftqcnbp.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-686bik7qfh-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-ejufx243xp-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-ie3z1rpj37.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-jieq13hrnk-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-jszuulk9xi.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-lro3tmjnkr.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-mfasbp4k7h-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/w3/9999p8856.8856.241010105653.d4w3/catalogue/sana-beauty-zone-muslim-street-amalapuram-women-beauty-parlours-mfasbp4k7h.jpg?w=1920&q=80,
"Blush Beauty Parlour Beside Hanuman Temple Gollagudem Bypass Road, Amalapuram",https://www.justdial.com/Amalapuram/Blush-Beauty-Parlour-Beside-Hanuman-Temple-Gollagudem-Bypass-Road/9999P8856-8856-250409100418-R3U4_BZDET,,,,,,"Change of Nail Colour (Member), Change of Nail Colour (Regular), French Nail Polish (Finger, Toe) (Regular)",https://content.jdmagicbox.com/comp/amalapuram/m8/9999p8856.8856.230715163242.c8m8/catalogue/dmm4gggy6bu4t8t-gvxlodel3x-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/comp/amalapuram/m8/9999p8856.8856.230715163242.c8m8/catalogue/vhxi2a7cahkmuif-5zy63tvx0q-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/0oi6fv4wcz94uh1-2n63yhzdjo-250.jpg?w=1920&q=80; https://content.jdmagicbox.com/v2/comp/amalapuram/j1/9999p8856.8856.250211103826.g5j1/catalogue/pnjbpqzn0bg7tgz-mv2yac2998-250.jpg?w=1920&q=80,
